"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"117","Homie the Clown","Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia.","1995-02-12","David Silverman","John Swartzwelder","6","15","118","17.5","",""
"118","Bart vs. Australia","In order to prove that toilets flush the opposite direction in Australia, Bart makes a prank call that ends up costing the recipient $900, Bart must apologize.","1995-02-19","Wes Archer","Bill Oakley & Josh Weinstein","6","16","119","15.1","",""
"119","Homer vs. Patty and Selma","Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet.","1995-02-26","Mark Kirkland","Brent Forrester","6","17","120","18.9","",""
"120","A Star Is Burns","The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge.","1995-03-05","Susie Dietter","Ken Keeler","6","18","121","14.4","",""
"121","Lisa's Wedding","A fortune teller gives Lisa a look at her wedding in the year 2010.","1995-03-19","Jim Reardon","Greg Daniels","6","19","122","14.9","",""
"122","Two Dozen and One Greyhounds","Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat.","1995-04-09","Bob Anderson","Mike Scully","6","20","123","11.6","",""
"123","The PTA Disbands","Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute.","1995-04-16","Swinton O. Scott III","Jennifer Crittenden","6","21","124","11.8","",""
"124","'Round Springfield","When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after.","1995-04-30","Steven Dean Moore","Story by : Al Jean & Mike ReissTeleplay by : Joshua Sternin & Jennifer Ventimilia","6","22","125","12.6","",""
"125","The Springfield Connection","Marge deals with corruption and crime when she joins the Springfield police force.","1995-05-07","Mark Kirkland","Jonathan Collier","6","23","126","12.7","",""
"126","Lemon of Troy","When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.","1995-05-14","Jim Reardon","Brent Forrester","6","24","127","13.1","",""
"127","Who Shot Mr. Burns? - Part I","After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him.","1995-05-21","Jeffrey Lynch","Bill Oakley & Josh Weinstein","6","25","128","15.0","",""
"128","Who Shot Mr. Burns? - Part II","Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found.","1995-09-17","Wes Archer","Bill Oakley & Josh Weinstein","7","1","129","22.6","",""
"129","Radioactive Man","Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.","1995-09-24","Susie Dietter","John Swartzwelder","7","2","130","15.7","",""
